date,equity,capital,open_positions,candidates,promoted,best_test_sharpe,macro_bias,fear_greed,news_hits
2026-06-29 14:19,9802.32,9163.9,2,7,69,4.723,neutral,12,0
2026-06-29 14:19,9801.88,9163.9,2,5,69,4.723,neutral,12,0
2026-06-29 14:20,9801.56,9163.9,2,3,71,4.723,neutral,12,0
2026-06-29 17:15,9828.93,9163.9,2,6,71,4.723,neutral,12,0
2026-06-29 17:16,9828.42,9163.9,2,6,71,4.723,neutral,12,0
2026-06-29 17:16,9827.69,9163.9,2,6,71,4.723,neutral,12,0
2026-06-29 17:17,9828.15,9163.9,2,8,71,4.723,neutral,12,0
2026-06-29 17:17,9827.72,9163.9,2,7,71,4.723,neutral,12,0
2026-06-29 17:18,9829.04,9163.9,2,6,71,4.723,neutral,12,0
2026-06-29 17:18,9829.11,9163.9,2,5,71,4.723,neutral,12,0
2026-06-29 17:18,9828.66,9163.9,2,7,71,4.723,neutral,12,0
2026-06-29 17:19,9828.45,9163.9,2,6,71,4.723,neutral,12,0
2026-06-29 17:19,9828.91,9163.9,2,6,71,4.723,neutral,12,0
2026-06-29 17:20,9829.45,9163.9,2,6,71,4.723,neutral,12,0
2026-06-29 17:21,9826.61,9163.9,2,6,71,4.723,neutral,12,0
2026-06-29 17:21,9826.55,9163.9,2,4,73,4.723,neutral,12,0
2026-06-29 19:20,9826.68,9163.9,2,6,73,4.723,neutral,12,0
2026-06-29 19:20,9827.57,9163.9,2,5,73,4.723,neutral,12,0
2026-06-29 19:20,9827.47,9163.9,2,5,73,4.723,neutral,12,0
2026-06-29 19:21,9827.49,9163.9,2,7,73,4.723,neutral,12,0
2026-06-29 19:21,9827.47,9163.9,2,8,73,4.723,neutral,12,0
2026-06-29 19:21,9827.44,9163.9,2,7,73,4.723,neutral,12,0
2026-06-29 19:21,9827.48,9163.9,2,6,73,4.723,neutral,12,0
2026-06-29 19:22,9827.46,9163.9,2,8,73,4.723,neutral,12,0
2026-06-29 19:22,9827.39,9163.9,2,7,73,4.723,neutral,12,0
2026-06-29 19:22,9827.41,9163.9,2,5,73,4.723,neutral,12,0
2026-06-29 19:23,9827.78,9163.9,2,9,73,4.723,neutral,12,0
2026-06-29 19:23,9827.85,9163.9,2,6,73,4.723,neutral,12,0
2026-06-29 19:23,9827.74,9163.9,2,7,73,4.723,neutral,12,0
2026-06-29 19:24,9827.97,9163.9,2,6,73,4.723,neutral,12,0
2026-06-29 19:24,9827.97,9163.9,2,6,73,4.723,neutral,12,0
2026-06-29 19:24,9827.88,9163.9,2,4,75,4.723,neutral,12,0
2026-06-29 21:11,9823.95,9163.9,2,7,75,4.723,neutral,12,0
2026-06-29 21:11,9824.2,9163.9,2,5,75,4.723,neutral,12,0
2026-06-29 21:11,9824.47,9163.9,2,7,75,4.723,neutral,12,0
2026-06-29 21:11,9824.68,9163.9,2,7,75,4.723,neutral,12,0
2026-06-29 21:12,9824.41,9163.9,2,6,75,4.723,neutral,12,0
2026-06-29 21:12,9824.49,9163.9,2,5,75,4.723,neutral,12,0
2026-06-29 21:12,9824.69,9163.9,2,8,75,4.723,neutral,12,0
2026-06-29 21:13,9825.72,9163.9,2,6,75,4.723,neutral,12,0
2026-06-29 21:13,9825.54,9163.9,2,5,75,4.723,neutral,12,0
2026-06-29 21:13,9825.58,9163.9,2,6,75,4.723,neutral,12,0
2026-06-29 21:14,9825.35,9163.9,2,6,75,4.723,neutral,12,0
2026-06-29 21:14,9825.28,9163.9,2,7,75,4.723,neutral,12,0
2026-06-29 21:14,9825.43,9163.9,2,9,75,4.723,neutral,12,0
2026-06-29 21:15,9825.4,9163.9,2,5,75,4.723,neutral,12,0
2026-06-29 21:15,9825.28,9163.9,2,6,75,4.723,neutral,12,0
2026-06-29 21:15,9825.25,9163.9,2,4,77,4.723,neutral,12,0
2026-06-29 22:24,9824.56,9163.9,2,6,77,4.723,neutral,12,0
2026-06-29 22:24,9824.66,9163.9,2,5,77,4.723,neutral,12,0
2026-06-29 22:24,9824.58,9163.9,2,8,77,4.723,neutral,12,0
2026-06-29 22:25,9824.47,9163.9,2,6,77,4.723,neutral,12,0
2026-06-29 22:25,9824.28,9163.9,2,6,77,4.723,neutral,12,0
2026-06-29 22:25,9824.33,9163.9,2,8,77,4.723,neutral,12,0
2026-06-29 22:25,9824.12,9163.9,2,8,77,4.723,neutral,12,0
2026-06-29 22:26,9824.03,9163.9,2,8,77,4.723,neutral,12,0
2026-06-29 22:26,9823.99,9163.9,2,9,77,4.723,neutral,12,0
2026-06-29 22:26,9824.38,9163.9,2,6,77,4.723,neutral,12,0
2026-06-29 22:27,9824.51,9163.9,2,7,77,4.723,neutral,12,0
2026-06-29 22:27,9824.48,9163.9,2,6,77,4.723,neutral,12,0
2026-06-29 22:27,9824.48,9163.9,2,6,77,4.723,neutral,12,0
2026-06-29 22:28,9824.48,9163.9,2,7,77,4.723,neutral,12,0
2026-06-29 22:28,9824.44,9163.9,2,8,77,4.723,neutral,12,0
2026-06-29 22:28,9824.44,9163.9,2,6,79,4.723,neutral,12,0
2026-06-29 23:37,9821.57,9163.9,2,5,79,4.723,neutral,12,0
2026-06-29 23:37,9821.75,9163.9,2,6,79,4.723,neutral,12,0
2026-06-29 23:37,9821.77,9163.9,2,8,79,4.723,neutral,12,0
2026-06-29 23:38,9821.94,9163.9,2,7,79,4.723,neutral,12,0
2026-06-29 23:38,9821.81,9163.9,2,7,79,4.723,neutral,12,0
2026-06-29 23:38,9821.83,9163.9,2,5,79,4.723,neutral,12,0
2026-06-29 23:39,9821.83,9163.9,2,8,79,4.723,neutral,12,0
2026-06-29 23:39,9821.8,9163.9,2,6,79,4.723,neutral,12,0
2026-06-29 23:39,9821.68,9163.9,2,8,79,4.723,neutral,12,0
2026-06-29 23:39,9821.67,9163.9,2,6,79,4.723,neutral,12,0
2026-06-29 23:40,9821.29,9163.9,2,6,79,4.723,neutral,12,0
2026-06-29 23:40,9821.34,9163.9,2,6,79,4.723,neutral,12,0
2026-06-29 23:40,9821.42,9163.9,2,7,79,4.723,neutral,12,0
2026-06-29 23:41,9821.28,9163.9,2,7,79,4.723,neutral,12,0
2026-06-29 23:41,9821.36,9163.9,2,6,79,4.723,neutral,12,0
2026-06-29 23:41,9821.45,9163.9,2,4,81,4.723,neutral,12,0
2026-06-30 01:40,9815.15,9163.9,2,7,81,4.723,neutral,15,0
2026-06-30 01:40,9815.06,9163.9,2,6,81,4.723,neutral,15,0
2026-06-30 01:41,9813.62,9163.9,2,5,81,4.723,neutral,15,0
2026-06-30 01:41,9813.2,9163.9,2,5,81,4.723,neutral,15,0
2026-06-30 01:41,9813.76,9163.9,2,6,81,4.723,neutral,15,0
2026-06-30 01:42,9813.85,9163.9,2,6,81,4.723,neutral,15,0
2026-06-30 01:42,9813.96,9163.9,2,8,81,4.723,neutral,15,0
2026-06-30 01:42,9814.11,9163.9,2,7,81,4.723,neutral,15,0
2026-06-30 01:43,9814.21,9163.9,2,6,81,4.725,neutral,15,0
2026-06-30 01:43,9814.18,9163.9,2,7,81,4.725,neutral,15,0
2026-06-30 01:43,9814.2,9163.9,2,6,81,4.725,neutral,15,0
2026-06-30 01:43,9814.22,9163.9,2,5,81,4.725,neutral,15,0
2026-06-30 01:44,9814.2,9163.9,2,6,81,4.725,neutral,15,0
2026-06-30 01:44,9814.09,9163.9,2,6,81,4.725,neutral,15,0
2026-06-30 01:44,9814.09,9163.9,2,7,81,4.725,neutral,15,0
2026-06-30 01:45,9814.15,9163.9,2,7,81,4.725,neutral,15,0
2026-06-30 01:45,9814.18,9163.9,2,5,83,4.725,neutral,15,0
2026-06-30 05:59,9814.03,9163.9,2,7,83,4.725,neutral,15,0
2026-06-30 05:59,9814.03,9163.9,2,9,83,4.725,neutral,15,0
2026-06-30 05:59,9813.9,9163.9,2,8,83,4.725,neutral,15,0
2026-06-30 06:00,9813.93,9163.9,2,6,83,4.725,neutral,15,0
2026-06-30 06:00,9813.86,9163.9,2,8,83,4.725,neutral,15,0
2026-06-30 06:01,9813.75,9163.9,2,8,83,4.725,neutral,15,0
2026-06-30 06:01,9813.64,9163.9,2,6,83,4.725,neutral,15,0
2026-06-30 06:01,9813.59,9163.9,2,8,83,4.725,neutral,15,0
2026-06-30 06:02,9813.47,9163.9,2,8,83,4.725,neutral,15,0
2026-06-30 06:02,9813.4,9163.9,2,6,83,4.725,neutral,15,0
2026-06-30 06:02,9813.31,9163.9,2,8,83,4.725,neutral,15,0
2026-06-30 06:02,9813.34,9163.9,2,6,83,4.725,neutral,15,0
2026-06-30 06:03,9813.45,9163.9,2,6,83,4.725,neutral,15,0
2026-06-30 06:03,9813.39,9163.9,2,5,83,4.725,neutral,15,0
2026-06-30 06:03,9813.37,9163.9,2,7,83,4.725,neutral,15,0
2026-06-30 06:04,9813.34,9163.9,2,7,83,4.725,neutral,15,0
2026-06-30 06:04,9813.41,9163.9,2,6,83,4.725,neutral,15,0
2026-06-30 06:04,9813.31,9163.9,2,4,85,4.725,neutral,15,0
2026-06-30 09:37,9810.44,9163.9,2,7,85,4.725,neutral,15,0
2026-06-30 09:38,9810.38,9163.9,2,9,85,4.725,neutral,15,0
2026-06-30 09:38,9810.38,9163.9,2,7,85,4.725,neutral,15,0
2026-06-30 09:39,9810.35,9163.9,2,9,85,4.725,neutral,15,0
2026-06-30 09:39,9810.34,9163.9,2,6,85,4.725,neutral,15,0
2026-06-30 09:39,9810.24,9163.9,2,6,85,4.725,neutral,15,0
2026-06-30 09:40,9810.42,9163.9,2,6,85,4.725,neutral,15,0
2026-06-30 09:40,9810.39,9163.9,2,7,85,4.725,neutral,15,0
2026-06-30 09:40,9810.51,9163.9,2,7,85,4.725,neutral,15,0
2026-06-30 09:41,9810.55,9163.9,2,5,85,4.725,neutral,15,0
2026-06-30 09:41,9810.62,9163.9,2,6,85,4.725,neutral,15,0
2026-06-30 09:41,9810.66,9163.9,2,5,85,4.725,neutral,15,0
2026-06-30 09:42,9810.6,9163.9,2,7,85,4.725,neutral,15,0
2026-06-30 09:42,9810.55,9163.9,2,7,85,4.725,neutral,15,0
2026-06-30 09:42,9810.63,9163.9,2,5,87,4.725,neutral,15,0
2026-06-30 12:04,9806.37,9163.9,2,7,87,4.725,neutral,15,0
2026-06-30 12:04,9806.46,9163.9,2,6,87,4.725,neutral,15,0
2026-06-30 12:05,9806.39,9163.9,2,5,87,4.725,neutral,15,0
2026-06-30 12:05,9806.29,9163.9,2,7,87,4.725,neutral,15,0
2026-06-30 12:05,9806.31,9163.9,2,6,87,4.725,neutral,15,0
2026-06-30 12:06,9806.54,9163.9,2,7,87,4.725,neutral,15,0
2026-06-30 12:06,9806.31,9163.9,2,8,87,4.725,neutral,15,0
2026-06-30 12:06,9805.48,9163.9,2,5,87,4.725,neutral,15,0
2026-06-30 12:06,9805.6,9163.9,2,5,87,4.725,neutral,15,0
2026-06-30 12:07,9805.77,9163.9,2,6,87,4.725,neutral,15,0
2026-06-30 12:07,9805.7,9163.9,2,7,87,4.725,neutral,15,0
2026-06-30 12:07,9805.79,9163.9,2,4,87,4.725,neutral,15,0
2026-06-30 12:08,9805.69,9163.9,2,8,87,4.725,neutral,15,0
2026-06-30 12:08,9805.7,9163.9,2,6,87,4.725,neutral,15,0
2026-06-30 12:08,9805.79,9163.9,2,7,87,4.725,neutral,15,0
2026-06-30 12:08,9805.85,9163.9,2,5,89,4.725,neutral,15,0
2026-06-30 14:46,9805.02,9163.9,2,5,89,4.725,neutral,15,0
2026-06-30 14:47,9804.54,9163.9,2,7,89,4.725,neutral,15,0
2026-06-30 14:47,9804.91,9163.9,2,8,89,4.725,neutral,15,0
2026-06-30 14:47,9804.76,9163.9,2,7,89,4.725,neutral,15,0
2026-06-30 14:47,9804.26,9163.9,2,7,89,4.773,neutral,15,0
2026-06-30 14:48,9804.75,9163.9,2,6,89,4.773,neutral,15,0
2026-06-30 14:48,9804.04,9163.9,2,6,89,4.773,neutral,15,0
2026-06-30 14:48,9803.56,9163.9,2,6,89,4.773,neutral,15,0
2026-06-30 14:49,9803.81,9163.9,2,7,89,4.773,neutral,15,0
2026-06-30 14:49,9803.71,9163.9,2,5,89,4.773,neutral,15,0
2026-06-30 14:49,9803.68,9163.9,2,6,89,4.773,neutral,15,0
2026-06-30 14:50,9803.47,9163.9,2,8,89,4.773,neutral,15,0
2026-06-30 14:50,9803.79,9163.9,2,6,89,4.773,neutral,15,0
2026-06-30 14:50,9803.48,9163.9,2,6,89,4.773,neutral,15,0
2026-06-30 14:50,9802.68,9163.9,2,6,89,4.773,neutral,15,0
2026-06-30 14:51,9802.92,9163.9,2,6,89,4.773,neutral,15,0
2026-06-30 14:51,9802.92,9163.9,2,4,91,4.773,neutral,15,0
2026-06-30 16:58,9806.44,9163.9,2,6,91,4.773,neutral,15,0
2026-06-30 16:59,9806.37,9163.9,2,5,91,4.773,neutral,15,0
2026-06-30 16:59,9806.72,9163.9,2,5,91,4.773,neutral,15,0
2026-06-30 16:59,9806.66,9163.9,2,7,91,4.773,neutral,15,0
